taxable income,n_people,taxable_income_millions,tax_assessed_millions,taxable_income_per_person,after_tax_income_millions,after_tax_income_per_person,cumulative_people,cumulative_proportion
"$83,001  - $84,000",13820,1154.4,255.5,83531.1143270622,898.9,65043.4153400868,3396960,0.880000414488443
"$84,001  - $85,000",13470,1138,253.2,84484.0386043059,884.8,65686.7112100965,3410430,0.88348988907253
"$85,001  - $86,000",13520,1155.6,258.6,85473.3727810651,897,66346.1538461538,3423950,0.886992316420478
"$86,001  - $87,000",12230,1057.9,238,86500.4088307441,819.9,67040.0654129191,3436180,0.890160562460818
"$87,001  - $88,000",10960,959.1,217,87509.1240875913,742.1,67709.8540145985,3447140,0.892999808299095
"$88,001  - $89,000",10200,902.6,205.3,88490.1960784314,697.3,68362.7450980392,3457340,0.895642172126688
"$89,001  - $90,000",11620,1040.5,237.9,89543.8898450947,802.6,69070.5679862306,3468960,0.898652394447927
"$90,001  - $91,000",10540,953.7,219,90483.8709677419,734.7,69705.8823529412,3479500,0.901382837069774
"$91,001  - $92,000",9490,868.4,200.4,91506.8493150685,668,70389.8840885142,3488990,0.903841271650545
"$92,001  - $93,000",9600,888.5,206,92552.0833333333,682.5,71093.75,3498590,0.906328202311809
"$93,001  - $94,000",9230,863.2,201,93521.1267605634,662.2,71744.3120260022,3507820,0.908719282520504
"$94,001  - $95,000",8670,819.4,191.7,94509.8039215686,627.7,72399.07727797,3516490,0.910965291773959
"$95,001  - $96,000",10140,968.3,227.5,95493.0966469428,740.8,73057.1992110454,3526630,0.913592112284919
"$96,001  - $97,000",7730,746,176,96507.1151358344,570,73738.680465718,3534360,0.915594609577792
"$97,001  - $98,000",8070,786.8,186.4,97496.9021065675,600.4,74399.0086741016,3542430,0.917685185664917
"$98,001  - $99,000",8280,815.7,194,98514.4927536232,621.7,75084.5410628019,3550710,0.919830163360258
"$99,001 - $100,000",8810,877.2,209.5,99568.6719636776,667.7,75788.876276958,3559520,0.922112440352522
"$100,001 - $101,000",7120,715.8,171.6,100533.707865169,544.2,76432.5842696629,3566640,0.923956913926294
"$101,001 - $102,000",6000,609.2,146.5,101533.333333333,462.7,77116.6666666667,3572640,0.925511245589584
"$102,001 - $103,000",6690,685.6,165.5,102481.315396114,520.1,77742.8998505232,3579330,0.927244325394153
"$103,001 - $104,000",6470,669.9,162.3,103539.412673879,507.6,78454.4049459042,3585800,0.928920413037734
"$104,001 - $105,000",6260,654.3,159.1,104520.766773163,495.2,79105.4313099041,3592060,0.9305420990731
"$105,001 - $106,000",6610,697.3,170.1,105491.679273828,527.2,79757.9425113464,3598670,0.932254454455492
"$106,001 - $107,000",5970,635.7,155.6,106482.412060302,480.1,80418.7604690117,3604640,0.933801014460466
"$107,001 - $108,000",5840,627.8,154.1,107500,473.7,81113.0136986301,3610480,0.935313897279401
"$108,001 - $109,000",4780,518.7,127.8,108514.644351464,390.9,81778.2426778243,3615260,0.936552181504489
"$109,001 - $110,000",5560,608.9,150.5,109514.388489209,458.4,82446.0431654676,3620820,0.937992528845805
"$110,001 - $111,000",4610,509.4,126.2,110498.915401302,383.2,83123.6442516269,3625430,0.939186773673766
"$111,001 - $112,000",5000,557.7,138.6,111540,419.1,83820,3630430,0.940482050059842
"$112,001 - $113,000",5160,580.4,144.7,112480.620155039,435.7,84437.984496124,3635590,0.941818775290271
"$113,001 - $114,000",4560,517.5,129.4,113486.842105263,388.1,85109.649122807,3640150,0.943000067354372
"$114,001 - $115,000",4380,501.7,125.8,114543.378995434,375.9,85821.9178082192,3644530,0.944134729468574
"$115,001 - $116,000",5120,591.2,148.6,115468.75,442.6,86445.3125,3649650,0.945461092487915
"$116,001 - $117,000",4400,512.7,129.2,116522.727272727,383.5,87159.0909090909,3654050,0.946600935707661
"$117,001 - $118,000",4820,566.5,143.2,117531.12033195,423.3,87821.5767634855,3658870,0.947849582143838
"$118,001 - $119,000",3360,398.1,100.9,118482.142857143,297.2,88452.380952381,3662230,0.94872000787528
"$119,001 - $120,000",4510,539.2,137,119556.541019956,402.2,89179.600886918,3666740,0.94988834717552
"$120,001 - $121,000",3800,457.8,116.6,120473.684210526,341.2,89789.4736842106,3670540,0.950872757228937
"$121,001 - $122,000",3510,426.4,108.8,121481.481481481,317.6,90484.3304843305,3674050,0.951782041251962
"$122,001 - $123,000",3480,426,109,122413.793103448,317,91091.9540229885,3677530,0.952683553616671
"$123,001 - $124,000",3910,482.9,123.9,123503.836317136,359,91815.8567774936,3681440,0.953696459750582
"$124,001 - $125,000",3780,470.6,121,124497.354497354,349.6,92486.7724867725,3685220,0.954675688698454
"$125,001 - $126,000",3310,415.6,107.1,125558.912386707,308.5,93202.416918429,3688530,0.955533161666036
"$126,001 - $127,000",3220,407.4,105.2,126521.739130435,302.2,93850.9316770186,3691750,0.956367319658669
"$127,001 - $128,000",3200,408.1,105.6,127531.25,302.5,94531.25,3694950,0.957196296545757
"$128,001 - $129,000",2900,372.8,96.7,128551.724137931,276.1,95206.8965517242,3697850,0.957947556849681
"$129,001 - $130,000",3050,395.1,102.7,129540.983606557,292.4,95868.8524590164,3700900,0.958737675445187
"$130,001 - $131,000",3180,415,108.1,130503.144654088,306.9,96509.4339622642,3704080,0.95956147122673
"$131,001 - $132,000",2600,342,89.2,131538.461538462,252.8,97230.7692307692,3706680,0.960235014947489
"$132,001 - $133,000",2660,352.4,92.1,132481.203007519,260.3,97857.1428571429,3709340,0.960924101984882
"$133,001 - $134,000",2800,373.7,97.9,133464.285714286,275.8,98500,3712140,0.961649456761084
"$134,001 - $135,000",3130,421,110.5,134504.792332268,310.5,99201.2779552716,3715270,0.962460299778767
"$135,001 - $136,000",2860,387.6,101.9,135524.475524476,285.7,99895.1048951049,3718130,0.963201197871602
"$136,001 - $137,000",2090,285.1,75.1,136411.483253589,210,100478.468899522,3720220,0.963742623400981
"$137,001 - $138,000",2730,375.2,99,137435.897435897,276.2,101172.161172161,3722950,0.964449844307778
"$138,001 - $139,000",2510,347.7,92,138525.896414343,255.7,101872.509960159,3725460,0.965100073053588
"$139,001 - $140,000",2260,315.6,83.6,139646.017699115,232,102654.867256637,3727720,0.965685537980094
"$140,001 - $141,000",2240,314.4,83.4,140357.142857143,231,103125,3729960,0.966265821801056
"$141,001 - $142,000",2130,301.3,80.1,141455.399061033,221.2,103849.765258216,3732090,0.966817609541524
"$142,001 - $143,000",2670,380.4,101.3,142471.91011236,279.1,104531.835205992,3734760,0.967509287131688
"$143,001 - $144,000",1560,223.9,59.7,143525.641025641,164.2,105256.41025641,3736320,0.967913413364144
"$144,001 - $145,000",1900,274.6,73.4,144526.315789474,201.2,105894.736842105,3738220,0.968405618390852
"$145,001 - $146,000",1980,288.1,77.1,145505.050505051,211,106565.656565657,3740200,0.968918547839738
"$146,001 - $147,000",2530,370.6,99.3,146482.213438735,271.3,107233.201581028,3742730,0.969573957691092
"$147,001 - $148,000",2330,343.7,92.3,147510.729613734,251.4,107896.995708155,3745060,0.970177556487003
