band_ceiling,taxable income,n_people,taxable_income_millions,tax_assessed_millions,taxable_income_per_person,after_tax_income_millions,after_tax_income_per_person,cumulative_people,cumulative_proportion
76000,"$75,001  - $76,000",16490,1244.8,261,75488.1746513038,983.8,59660.4002425713,3183820,0.863504823587165
77000,"$76,001  - $77,000",16020,1225.3,258.9,76485.6429463171,966.4,60324.5942571785,3199840,0.867849713459666
78000,"$77,001  - $78,000",15540,1204.5,256.4,77509.6525096525,948.1,61010.296010296,3215380,0.87206441936595
79000,"$78,001  - $79,000",14150,1111,238.1,78515.9010600707,872.9,61689.0459363958,3229530,0.875902134203396
80000,"$79,001  - $80,000",14880,1183.1,255.3,79509.4086021505,927.8,62352.1505376344,3244410,0.879937837156131
81000,"$80,000  - $81,000",13710,1103.9,239.8,80517.8701677608,864.1,63026.9876002918,3258120,0.883656216691212
82000,"$81,001  - $82,000",13200,1076,235.2,81515.1515151515,840.8,63696.9696969697,3271320,0.887236275762186
83000,"$82,001  - $83,000",12680,1046,230.1,82492.1135646688,815.9,64345.4258675079,3284000,0.890675302203092
84000,"$83,001  - $84,000",12350,1031.6,228.3,83530.3643724696,803.3,65044.5344129555,3296350,0.894024827167224
85000,"$84,001  - $85,000",10560,892.6,198.7,84526.5151515152,693.9,65710.2272727273,3306910,0.896888874424004
86000,"$85,001  - $86,000",10690,914.2,204.6,85519.1768007484,709.6,66379.7942001871,3317600,0.899788179838301
87000,"$86,001  - $87,000",11030,954.4,214.8,86527.6518585675,739.6,67053.4904805077,3328630,0.902779698895335
88000,"$87,001  - $88,000",10960,958.5,216.8,87454.3795620438,741.7,67673.3576642336,3339590,0.905752232790629
89000,"$88,001  - $89,000",9470,838.2,190.6,88511.0876451954,647.6,68384.3717001056,3349060,0.908320653957457
90000,"$89,001  - $90,000",9500,850.1,194.3,89484.2105263158,655.8,69031.5789473684,3358560,0.910897211622174
91000,"$90,001  - $91,000",8890,804.2,184.7,90461.1923509561,619.5,69685.0393700787,3367450,0.913308327163156
92000,"$91,001  - $92,000",8950,819.1,189,91519.5530726257,630.1,70402.2346368715,3376400,0.915735715699915
93000,"$92,001  - $93,000",7710,713.2,165.4,92503.2425421531,547.8,71050.5836575876,3384110,0.91782679565728
94000,"$93,001  - $94,000",8400,785.4,182.9,93500,602.5,71726.1904761905,3392510,0.920105015066082
95000,"$94,001  - $95,000",8140,769.2,179.9,94496.3144963145,589.3,72395.5773955774,3400650,0.92231271815985
96000,"$95,001  - $96,000",6780,647.7,152.2,95530.9734513274,495.5,73082.5958702065,3407430,0.924151566682668
97000,"$96,001  - $97,000",6750,651.4,153.7,96503.7037037037,497.7,73733.3333333333,3414180,0.925982278707599
98000,"$97,001  - $98,000",6860,668.9,158.4,97507.2886297376,510.5,74416.9096209913,3421040,0.92784282455812
99000,"$98,001  - $99,000",6410,631.4,150.2,98502.3400936037,481.2,75070.2028081123,3427450,0.929581322940313
100000,"$99,001 - $100,000",6860,683.1,163.1,99577.2594752187,520,75801.749271137,3434310,0.931441868790835
101000,"$100,001 - $101,000",6620,665,159.3,100453.172205438,505.7,76389.7280966767,3440930,0.933237322658248
102000,"$101,001 - $102,000",5350,542.9,130.6,101476.635514019,412.3,77065.4205607477,3446280,0.934688331448378
103000,"$102,001 - $103,000",5730,587.2,141.7,102478.184991274,445.5,77748.6910994764,3452010,0.936242402545097
104000,"$103,001 - $104,000",4710,487.4,118.1,103481.95329087,369.3,78407.6433121019,3456720,0.937519832713603
105000,"$104,001 - $105,000",5950,621.7,151.1,104487.394957983,470.6,79092.4369747899,3462670,0.939133571461505
106000,"$105,001 - $106,000",4920,519.1,126.6,105508.130081301,392.5,79776.4227642276,3467590,0.940467957115232
107000,"$106,001 - $107,000",4420,470.7,115.2,106493.212669683,355.5,80429.8642533937,3472010,0.941666734470816
108000,"$107,001 - $108,000",5060,544,133.6,107509.881422925,410.4,81106.7193675889,3477070,0.943039090448023
109000,"$108,001 - $109,000",4350,471.9,116.2,108482.75862069,355.7,81770.1149425287,3481420,0.944218882641867
110000,"$109,001 - $110,000",5070,555.1,137.2,109487.179487179,417.9,82426.0355029586,3486490,0.945593950785036
111000,"$110,001 - $111,000",4540,501.8,124.4,110528.634361233,377.4,83127.7533039648,3491030,0.946825274132175
112000,"$111,001 - $112,000",3940,439.3,109.2,111497.461928934,330.1,83781.7258883249,3494970,0.947893867521541
113000,"$112,001 - $113,000",4430,498.4,124.2,112505.643340858,374.2,84469.5259593679,3499400,0.949095357043088
114000,"$113,001 - $114,000",3560,404.1,101,113511.235955056,303.1,85140.4494382023,3502960,0.950060888125866
115000,"$114,001 - $115,000",4020,460.2,115.4,114477.611940299,344.8,85771.144278607,3506980,0.951151178842936
116000,"$115,001 - $116,000",3310,382.3,96.1,115498.489425982,286.2,86465.2567975831,3510290,0.952048905776642
117000,"$116,001 - $117,000",3400,396,99.8,116470.588235294,296.2,87117.6470588235,3513690,0.952971042204015
118000,"$117,001 - $118,000",3270,384.3,97.1,117522.935779817,287.2,87828.74617737,3516960,0.95385792047387
119000,"$118,001 - $119,000",3420,405.4,102.7,118538.011695906,302.7,88508.7719298246,3520380,0.954785481233168
120000,"$119,001 - $120,000",4460,533.3,135.5,119573.99103139,397.8,89192.8251121076,3524840,0.955995107252603
121000,"$120,001 - $121,000",3550,427.8,108.9,120507.042253521,318.9,89830.985915493,3528390,0.956957926169418
122000,"$121,001 - $122,000",3230,392.3,100.1,121455.108359133,292.2,90464.3962848297,3531620,0.957833955775422
123000,"$122,001 - $123,000",2920,357.6,91.5,122465.753424658,266.1,91130.1369863014,3534540,0.958625908236577
124000,"$123,001 - $124,000",3080,380.2,97.5,123441.558441558,282.7,91785.7142857143,3537620,0.959461255353138
125000,"$124,001 - $125,000",2760,343.8,88.4,124565.217391304,255.4,92536.231884058,3540380,0.960209813158887
126000,"$125,001 - $126,000",2700,338.8,87.3,125481.481481481,251.5,93148.1481481482,3543080,0.960942097968859
127000,"$126,001 - $127,000",2800,354.2,91.4,126500,262.8,93857.1428571428,3545880,0.96170150443846
128000,"$127,001 - $128,000",2300,293.2,75.9,127478.260869565,217.3,94478.2608695652,3548180,0.962325302609917
129000,"$128,001 - $129,000",2610,335.3,86.9,128467.432950192,248.4,95172.4137931035,3550790,0.963033177926224
130000,"$129,001 - $130,000",2780,360.2,93.6,129568.345323741,266.6,95899.2805755396,3553570,0.963787160063899
131000,"$130,001 - $131,000",2370,309.3,80.5,130506.329113924,228.8,96540.0843881857,3555940,0.964429943397096
132000,"$131,001 - $132,000",2590,340.6,88.9,131505.791505792,251.7,97181.4671814672,3558530,0.965132394381477
133000,"$132,001 - $133,000",2500,331.3,86.6,132520,244.7,97880,3561030,0.965810435872192
134000,"$133,001 - $134,000",2000,267.1,70,133550,197.1,98550,3563030,0.966352869064764
135000,"$134,001 - $135,000",2400,322.7,84.7,134458.333333333,238,99166.6666666667,3565430,0.96700378889585
136000,"$135,001 - $136,000",1990,269.6,70.9,135477.386934673,198.7,99849.2462311558,3567420,0.967543509922459
137000,"$136,001 - $137,000",1990,271.5,71.5,136432.16080402,200,100502.512562814,3569410,0.968083230949068
138000,"$137,001 - $138,000",2460,338.3,89.3,137520.325203252,249,101219.512195122,3571870,0.968750423775932
139000,"$138,001 - $139,000",2040,282.6,74.8,138529.411764706,207.8,101862.745098039,3573910,0.969303705632355
140000,"$139,001 - $140,000",1750,244.1,64.7,139485.714285714,179.4,102514.285714286,3575660,0.969778334675855
141000,"$140,001 - $141,000",1740,244.5,64.9,140517.24137931,179.6,103218.390804598,3577400,0.970250251553393
142000,"$141,001 - $142,000",1710,242,64.3,141520.467836257,177.7,103918.128654971,3579110,0.970714031933042
143000,"$142,001 - $143,000",1810,257.9,68.7,142486.187845304,189.2,104530.386740332,3580920,0.97120493397232
144000,"$143,001 - $144,000",2030,291.2,77.7,143448.275862069,213.5,105172.413793103,3582950,0.97175550366278
145000,"$144,001 - $145,000",1610,232.7,62.2,144534.161490683,170.5,105900.621118012,3584560,0.9721921623828
