age_lower_bound,population
0,294921
5,322635
10,305847
15,301824
20,317403
25,344463
30,317037
35,295395
40,291348
45,321483
50,308592
55,302745
60,260901
65,229032
70,183633
75,132792
80,85362
85,53979
90,23811
95,5913
100,648
